Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000157571,6.3701e-07,2.74255e-05,9.42623e-05,2.08254e-05,9.94494e-06,4.47561e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,9.89102,0,2.12142,2.35648e-05,0.126965,0,0.0441894,1.0684e-07,0.262298,0,1.04158,0,0.0407424,0,0.0348599,0,, , 0.153428,0.0398142,0.0690558,8.83778,1.88001,1.04158,0,0.000737684,0.0187667,0.0175048,0.00447094,0.0030668,0.0807252,0.0348599,0,0.0437299
2,5.60695,5.68861,18.0156,0.00631651,0.386585,0.396151,3.26027,5.2853e-05,1.03079,1.11244,16.3804,0,0.200102,0.209668,1.87336,5.08113e-08,, , 0.536411,1.32371,0.283112,9.16799,4.12283,16.3804,0,0.0235251,0.224453,0.152872,0.0324451,0.0149496,0.372873,1.87336,5.08113e-08,1.39457
3,1.43955,1.46955,35.1171,0.025266,0.256008,0.262882,6.92795,0.000211005,0.280824,0.310827,32.747,0,0.1653,0.172173,1.38598,2.03245e-07,, , 0.196541,0.291117,0.103994,8.16443,1.48311,32.747,0,0.0931907,0.204212,0.109423,0.023838,0.0343065,0.209853,1.38598,2.03245e-07,5.52435
4,1.32504,1.32669,8.68139,0.0968968,0.0578366,0.0586007,22.3735,0.000438528,1.25808,1.25973,0.0539282,0.000375506,0.0366616,0.0374257,0.207437,9.10626e-07,, , 0.0117368,2.50029,0.00579413,12.3167,0.361995,0.0539282,0.000375506,0.372521,0.0326851,0.0384432,0.00295907,0.114996,0.0979074,0.207437,9.10626e-07,22.0831
5,0.038298,0.038498,0.0307101,0.000209465,0.00101072,0.00102233,0.0485382,9.60981e-07,0.00200085,0.00220087,0.00296402,0,0.000183528,0.000195133,0.000425701,1.12914e-08,, , 0.00139585,0.00207535,0.000730516,0.154581,0.0287365,0.00296402,0,0.000809368,0.000156822,0.000184981,3.68578e-05,0.000629544,0.00139473,0.000425701,1.12914e-08,0.0479794
Total,18.3009,8.52334,63.9662,0.128712,0.828406,0.718656,32.6544,0.000703454,2.83399,2.68521,50.2259,0.000375506,0.442989,0.419462,3.50206,1.17597e-06,, , 0.899512,4.157,0.462687,38.6415,7.87668,50.2259,0.000375506,0.490784,0.480273,0.318428,0.06375,0.167949,0.762753,3.50206,1.17597e-06,29.0937


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.37242,0.0109988,0.516427,10.7579,0.0179387,0.842275
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000698206,2.54804e-06,0.000177579,0.000377049,8.33059e-05,3.97791e-05,1.79452e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
